,word1,word2,Sim_Lex_Similarity,Universal_encoder_Similarity
0,short,long,1.23,0.4142434489935282
1,happy,mad,0.95,0.2671149712992638
2,narrow,broad,1.18,0.7068047076736251
3,wonderful,great,8.05,0.745793441933278
4,unnecessary,necessary,0.63,0.2873258308676719
5,easy,flexible,4.1,0.19879883611446922
6,fragile,frigid,2.38,0.2105436963330255
7,happy,young,2,0.2375073895916572
8,afraid,anxious,5.07,0.4712832420635425
9,elastic,flexible,7.78,0.31901362303493574
10,fresh,wide,0.4,0.5240856120376182
11,uncle,aunt,5.5,0.7990071827283766
12,actress,actor,7.12,0.9047083848702274
13,clothes,closet,3.27,0.36938717833279205
14,disease,infection,7.15,0.04325363201889149
15,sea,ocean,8.27,0.32844738819071645
16,music,melody,6.98,0.12011486687743482
17,hound,fox,2.38,0.05094333917498771
18,telephone,booth,3.63,0.3638669451859798
19,decade,century,3.48,0.7006046903911148
20,arm,muscle,3.72,0.303380285263578
21,church,choir,2.95,0.4789200637448849
22,army,legion,5.95,0.34825700347378985
23,clothes,fabric,5.87,0.06111197479696666
24,god,devil,1.8,0.1433157738591895
25,tin,aluminum,6.42,0.3079119554701027
26,wall,brick,4.68,0.5450929495823327
27,rain,mist,5.97,0.12314370717559905
28,bird,turkey,6.58,0.33308177450852783
29,style,fashion,8.5,0.3988991945944276
30,animal,person,3.05,0.19470225993460086
31,orthodontist,dentist,8.27,N/A
32,son,father,3.82,0.8538855390629249
33,sheep,cattle,4.77,0.4799034586996645
34,father,daughter,2.62,0.8514132738712493
35,illness,infection,6.9,0.08308847086280755
36,august,month,5.53,-0.008384461140928397
37,opinion,choice,5.43,0.3593502540200027
38,hill,cliff,4.28,0.5404722080278123
39,emotion,passion,7.72,0.5432914261229258
40,opinion,idea,5.7,0.4012663023407517
41,science,psychology,4.92,0.20973821965232334
42,king,princess,3.27,0.483440650515116
43,house,carpet,1.38,0.4765013575076017
44,friend,guy,3.88,0.3957481848068781
45,flower,bulb,4.48,0.24787580055595437
46,room,bed,2.35,0.5122580317814747
47,attention,interest,7.22,0.3313278559933637
48,exit,doorway,5.5,0.1859607419729587
49,wagon,carriage,7.7,0.26610727574923165
50,book,topic,2.07,0.5487003208880433
51,polyester,cotton,5.63,0.2550015520625587
52,racket,noise,8.1,-0.043786834448839206
53,man,husband,5.32,0.500996265396619
54,boy,brother,6.67,0.564390921426975
55,effort,difficulty,4.45,0.2584848118696037
56,door,kitchen,1.67,0.6756471636920631
57,denial,confession,1.03,0.04434945019690023
58,biography,fiction,1.38,0.401141187381026
59,fever,illness,7.65,0.21553163913706266
60,author,reader,1.6,0.5555326273556611
61,man,warrior,4.72,0.44168186153565214
62,daughter,kid,4.17,0.6037906391134339
63,apple,sauce,1.43,0.11162327572154382
64,cup,cone,3.17,0.21686050806851057
65,word,clue,2.53,0.2736292101674686
66,belly,abdomen,8.13,0.06650161483712883
67,neck,spine,5.32,0.5856667466513518
68,arm,neck,1.58,0.6540903434679687
69,nose,mouth,3.73,0.7578542693917703
70,book,theme,2.58,0.448021888059153
71,trick,size,0.48,0.343692473797694
72,task,woman,0.68,0.2990942465355352
73,pollution,president,0.68,0.05896457896486739
74,hole,wife,0.68,0.02795136390594583
75,liquor,band,0.68,0.19929483655436434
76,princess,island,0.3,0.39116511879120947
77,go,come,2.42,0.7475356195048767
78,kill,destroy,5.9,0.6474253644503415
79,make,construct,8.33,0.5968436106037268
80,greet,meet,6.17,0.5181393586099374
81,accept,believe,6.75,0.5598612649379626
82,forget,ignore,3.07,0.6060245224772292
83,add,divide,2.3,0.45500694031118627
84,ask,pray,3.72,0.6409951592084271
85,take,possess,7.2,0.5167983749603681
86,give,deny,1.43,0.6326710980243844
87,overcome,dominate,6.25,0.6666830994537963
88,take,leave,2.47,0.5323058683854297
89,assume,predict,4.85,0.6314232370629657
90,keep,protect,5.4,0.4627387881608851
91,require,inquire,1.82,0.26227400375452636
92,owe,lend,2.32,0.5722702240611904
93,kill,defend,2.63,0.5923250002781019
94,please,entertain,5,0.4535103721494888
95,leave,wander,3.57,0.45942098467126447
96,collect,save,6.67,0.717074854310233
97,add,build,4.92,0.7066928967513643
98,investigate,pursue,7.15,0.7164103422898238
99,absorb,withdraw,2.97,0.5756524470849372
